node_1,node_2
fever@Disease,ARI@Gene
dengue fever@Disease,IP-10@Gene
pneumonias@Disease,CRP@Gene
pneumonia@Disease,TLR2@Gene
lung fibrosis@Disease,miR@Gene
Pulmonary Fibrosis@Disease,miR@Gene
Idiopathic Pulmonary Fibrosis@Disease,miR@Gene
diarrhea@Disease,IFN@Gene
cystic fibrosis@Disease,COPD@Gene
respiratory infections@Disease,IFN@Gene
pneumonia@Disease,TNF-alpha@Gene
Fever@Disease,d6-7@Gene
respiratory disease@Disease,mDPP4@Gene
fibrosis@Disease,AnxA1@Gene
respiratory infections@Disease,ARI@Gene
respiratory diseases@Disease,COPD@Gene
pneumonia@Disease,IL6@Gene
dengue hemorrhagic fever@Disease,SARS@Gene
fibrosis@Disease,ACE@Gene
fibrosis@Disease,RNase L@Gene
respiratory syndrome@Disease,ACE2@Gene
SARS-CoV infection@Disease,syntenin@Gene
SARS-CoV infection@Disease,p38 MAPK@Gene
SARS-CoV infection@Disease,IL-8@Gene
fever@Disease,CD4@Gene
fibrosis@Disease,IFN-gamma@Gene
respiratory syndrome@Disease,RIG-I@Gene
influenza pneumonia@Disease,Mint3@Gene
respiratory disease@Disease,SARS@Gene
pneumonia@Disease,Ang II@Gene
respiratory viral infection@Disease,CD8@Gene
fever@Disease,TNF-alpha@Gene
dengue hemorrhagic fever@Disease,CD209@Gene
pneumonia@Disease,neuraminidase@Gene
SARS-CoV infection@Disease,Kepi@Gene
diarrhea@Disease,P120@Gene
respiratory syndrome@Disease,IFN@Gene
SARS-CoV infection@Disease,IL-6@Gene
fibrosis@Disease,in@Gene
Fever@Disease,Apr@Gene
acute respiratory syndrome@Disease,SARS@Gene
interstitial pneumonia@Disease,hDPP4@Gene
SARS-CoV infection@Disease,TNFalpha@Gene
pneumonia@Disease,IFN@Gene
fever@Disease,IP-10@Gene
pneumonia@Disease,NF-kappaB@Gene
respiratory syncytial virus infection@Disease,IgG1@Gene
SARS-CoV infection@Disease,IFN-gamma@Gene
coronavirus infection@Disease,SARS@Gene
fever@Disease,spp@Gene
respiratory viral infections@Disease,CD8@Gene
fever@Disease,SARS@Gene
fibrosis@Disease,EGFR@Gene
pulmonary fibrosis@Disease,EGFR@Gene
respiratory infections@Disease,COPD@Gene
lung fibrosis@Disease,BLM@Gene
pneumonia@Disease,pigs@Gene
fever@Disease,NS1@Gene
fibrosis@Disease,AST@Gene
Ebola virus infection@Disease,IFN@Gene
fever@Disease,IL-1beta@Gene
pneumonia@Disease,CD4@Gene
respiratory syndrome coronavirus@Disease,DPP4@Gene
pulmonary fibrosis@Disease,STAT1@Gene
dengue hemorrhagic fever@Disease,IL-1beta@Gene
dengue hemorrhagic fever@Disease,IL-6@Gene
coronavirus infection@Disease,IL-10@Gene
liver and lung fibrosis@Disease,ACE2@Gene
diarrhea@Disease,NHE3@Gene
fever@Disease,CD8@Gene
Bos taurus    Bovine respiratory   AID@Disease,AID@Gene
Respiratory distress Pneumonia@Disease,COPD@Gene
respiratory viral infections@Disease,COPD@Gene
acute respiratory syndrome@Disease,IFN-gamma@Gene
dengue fever@Disease,MAVS@Gene
dengue fever@Disease,Dectin-1@Gene
respiratory tract infections@Disease,CRP@Gene
respiratory virus infection@Disease,TRM@Gene
respiratory infection@Disease,IFN-gamma@Gene
interstitial lung fibrosis@Disease,TNF-alpha@Gene
pneumonia@Disease,CD8@Gene
pneumonia@Disease,RAGE@Gene
pulmonary fibrosis@Disease,ACE2@Gene
fibrosis@Disease,VN@Gene
respiratory virus infections@Disease,CD4@Gene
fibrosis@Disease,Ang@Gene
lung fibrosis@Disease,ACE2@Gene
SARS-CoV infection@Disease,MyD88@Gene
respiratory illness@Disease,COPD@Gene
SARS-CoV infection@Disease,IFN-beta@Gene
respiratory virus infection@Disease,IFN-gamma@Gene
pneumonia@Disease,TLR4@Gene
respiratory disease   Parainfluenza@Disease,lag1@Gene
fever@Disease,PNP@Gene
SARS-CoV infection@Disease,TNF-alpha@Gene
respiratory disease@Disease,DPP4@Gene
coronavirus infection@Disease,IRE1@Gene
acute respiratory syndrome@Disease,IFN@Gene
SARS-CoV infection@Disease,MBL@Gene
renal fibrosis@Disease,ACE2@Gene
fibrosis@Disease,MR@Gene
pneumonia@Disease,G-CSF@Gene
pneumonia@Disease,ARI@Gene
SARS-CoV infection@Disease,IFN-alpha@Gene
viral pneumonia@Disease,IL-6@Gene
pneumonia@Disease,muL@Gene
febrile respiratory illness@Disease,mask@Gene
respiratory virus infection@Disease,mask@Gene
respiratory syndrome@Disease,TRIM25@Gene
respiratory viral infection@Disease,CD4@Gene
viral pneumonia@Disease,ST2@Gene
respiratory disease@Disease,COPD@Gene
fibrosis@Disease,OVA@Gene
fever@Disease,IL-8@Gene
pneumonia@Disease,CXCL10@Gene
fibrosis@Disease,MuRF2@Gene
SARS-CoV infection@Disease,JNK@Gene
fibrosis@Disease,Ang-(1-7@Gene
respiratory diseases@Disease,NF-kappaB@Gene
respiratory illness@Disease,SARS@Gene
fever@Disease,I-TAC@Gene
fibrosis@Disease,TNF-alpha@Gene
Fever@Disease,CRP@Gene
eosinophilic crystalline pneumonia@Disease,SHIP@Gene
fibrosis@Disease,SAP@Gene
fever@Disease,UTI@Gene
acute respiratory syndrome@Disease,ACE2@Gene
fibrosis@Disease,BLM@Gene
influenza pneumonia@Disease,CARD9@Gene
pneumoniae type 14@Disease,SIGN-R1@Gene
pulmonary fibrosis@Disease,TGF-beta@Gene
diarrhea@Disease,ORF3@Gene
bacterial pneumonia@Disease,GM-CSF@Gene
respiratory disease@Disease,IFN@Gene
pneumonia@Disease,Th1@Gene
diarrhea@Disease,Apr@Gene
SARS-CoV infection@Disease,TMPRSS2@Gene
pneumonia@Disease,MOZ@Gene
fibrosis@Disease,Cav1@Gene
pneumonia@Disease,URI@Gene
Fever@Disease,d5-7@Gene
Fever@Disease,d6-8@Gene
fibrosis@Disease,DPP4@Gene
viral pneumonias@Disease,CRP@Gene
respiratory infections@Disease,CRP@Gene
fibrosis@Disease,HB-EGF@Gene
respiratory disease@Disease,TNF-alpha@Gene
dengue fever@Disease,DC-SIGN@Gene
respiratory virus infection@Disease,IFN@Gene
fever@Disease,IFN-gamma@Gene
fibrosis@Disease,Mx1@Gene
SARS CoV infection@Disease,ACE2@Gene
dengue fever@Disease,RANTES@Gene
dengue fever@Disease,I-TAC@Gene
diarrhea@Disease,VP7@Gene
acute respiratory syndrome@Disease,ISG15@Gene
diarrhea@Disease,ARP1@Gene
pneumonia@Disease,P05@Gene
respiratory syndrome coronavirus@Disease,ORF 5@Gene
Fibrosis CF@Disease,miR@Gene
Fibrosis@Disease,miR@Gene
respiratory tract infection@Disease,COPD@Gene
pneumonia@Disease,PNP@Gene
diarrhea@Disease,VP4@Gene
pneumonia@Disease,TNFalpha@Gene
viral pneumonia@Disease,TNFR1@Gene
skin fibrosis@Disease,Cav1@Gene
fibrosis@Disease,Ang-II@Gene
respiratory syndrome coronavirus@Disease,ORF 4a@Gene
respiratory syndrome coronavirus@Disease,ORF 4b@Gene
fever@Disease,Alba@Gene
Ebola infection@Disease,TPC2@Gene
diarrhea@Disease,OVA@Gene
pneumonia@Disease,IL-1beta@Gene
pneumonia@Disease,IL-4@Gene
hemorrhagic fevers@Disease,TfR1@Gene
fibrosis@Disease,BTC@Gene
fibrosis@Disease,angiotensin II@Gene
fever@Disease,COPD@Gene
Respiratory distress Pneumonia Rhinovirus@Disease,COPD@Gene
Respiratory distress Pneumonia Virus@Disease,COPD@Gene
cardiac fibrosis@Disease,ACE2@Gene
coronavirus infections@Disease,IFN@Gene
Ebola virus infection@Disease,interferon gamma@Gene
fever@Disease,IL-10@Gene
fibrosis@Disease,IL-17A@Gene
SARS-CoV infection@Disease,NF-kappaB@Gene
dengue hemorrhagic fever@Disease,MAVS@Gene
pneumonia@Disease,MCP-1@Gene
dengue hemorrhagic fever@Disease,Dectin-1@Gene
respiratory disease@Disease,CD4@Gene
pneumonia@Disease,CTD@Gene
viral pneumonia@Disease,C-reactive protein@Gene
bacterial pneumonia@Disease,C-reactive protein@Gene
SARS-CoV infection@Disease,Serpine1@Gene
SARS-CoV infection@Disease,PP1@Gene
pneumonia@Disease,RIG-I@Gene
SARS infection@Disease,HLA-B@Gene
SARS-CoV infection@Disease,MxA@Gene
diarrhea@Disease,K71@Gene
pneumonia@Disease,RANTES@Gene
"Drosophila, S2 Bovine viral diarrhea virus, hepatitis C virus scFv@Disease",scFv@Gene
Ebola virus infection@Disease,CD8@Gene
interstitial pneumonia@Disease,pigs@Gene
fibrosis@Disease,Th2@Gene
dengue fever@Disease,RIG-I@Gene
Fever@Disease,AST@Gene
respiratory infections@Disease,MBL@Gene
coronavirus infection@Disease,JNK@Gene
bacterial pneumonia@Disease,spp@Gene
respiratory syndrome@Disease,CD4@Gene
respiratory virus infection@Disease,CD4@Gene
Cystic fibrosis@Disease,CFTR@Gene
respiratory infection@Disease,CRP@Gene
SARS-CoV infection@Disease,IFNAR@Gene
SARS-CoV infection@Disease,rSARS@Gene
fever@Disease,alanine aminotransferase@Gene
respiratory viral infections@Disease,IFN@Gene
pneumonia@Disease,IFNgamma@Gene
SARS-CoV infection@Disease,IP-10@Gene
hemorrhagic fever arenaviruses@Disease,TfR1@Gene
coronavirus infection@Disease,XBP1@Gene
respiratory syndrome@Disease,CD8@Gene
respiratory syncytial virus infection@Disease,CD8@Gene
respiratory disease@Disease,pigs@Gene
respiratory syndrome@Disease,pigs@Gene
SARS-CoV infection@Disease,p38@Gene
pneumonia@Disease,GM-CSF@Gene
fever@Disease,LPS@Gene
pneumonia@Disease,LPS@Gene
diarrhea@Disease,APOB@Gene
diarrhea@Disease,muM@Gene
respiratory syndrome coronavirus@Disease,SARS@Gene
respiratory infections@Disease,SARS@Gene
Ebola haemorrhagic fever@Disease,Sri@Gene
pneumonia@Disease,TLR3@Gene
diarrhea@Disease,IgA@Gene
coronavirus infection@Disease,nsp3@Gene
Diarrhea@Disease,ETEC@Gene
pneumonia@Disease,AST@Gene
acute respiratory distress syndrome@Disease,IL-8@Gene
respiratory disease@Disease,MEP@Gene
myocardial fibrosis@Disease,ACE2@Gene
fever@Disease,monocytes@Gene
fibrosis@Disease,PTH@Gene
fibrosis@Disease,BLM+HSV1@Gene
viral pneumonia@Disease,CTD@Gene
respiratory tract infection@Disease,CRP@Gene
Zika virus infections@Disease,IFNAR@Gene
SARS-CoV infection@Disease,TRAM@Gene
cystic fibrosis@Disease,pendrin@Gene
respiratory infection illness@Disease,IL-8@Gene
bacterial pneumonia@Disease,miR-155@Gene
fever@Disease,muL@Gene
pneumonia@Disease,ANGPTL4@Gene
lung fibrosis@Disease,ACE-2@Gene
acute respiratory distress syndrome@Disease,ACE2@Gene
respiratory syndrome coronavirus@Disease,ACE2@Gene
pneumonia@Disease,MIP-1beta@Gene
Yellow fever@Disease,Sri@Gene
SARS-CoV infection@Disease,mACE2@Gene
pulmonary fibrosis@Disease,TNF-alpha@Gene
respiratory disease@Disease,ALTE@Gene
CHRONIC DIARRHEA T@Disease,CD4@Gene
respiratory syndrome coronavirus entry@Disease,cathepsin L@Gene
SARS-CoV infection@Disease,DPP4@Gene
respiratory disease@Disease,IL-10@Gene
acute respiratory distress syndrome@Disease,IFN@Gene
diarrhea@Disease,IFN-gamma@Gene
dengue fever@Disease,IL-10@Gene
fever@Disease,NF-kappaB@Gene
Pneumonia@Disease,SARS@Gene
fever@Disease,RANTES@Gene
Valley  Fever Virus               Bunyavirus@Disease,IFITM3@Gene
Omsk  Hemorrhagic  Fever Virus               Flavivirus@Disease,IFITM3@Gene
Fever  Virus               Flavivirus@Disease,IFITM3@Gene
Valley  Fever Virus               Bunyavirus@Disease,IFITM1@Gene
Omsk  Hemorrhagic  Fever Virus               Flavivirus@Disease,IFITM1@Gene
Fever  Virus               Flavivirus@Disease,IFITM1@Gene
pneumonia@Disease,TSP@Gene
SARS-CoV infection@Disease,ezrin@Gene
acute respiratory syndrome@Disease,CAIX@Gene
coronavirus infection@Disease,eIF2alpha@Gene
respiratory infections@Disease,CD4@Gene
dengue fever@Disease,CD14@Gene
cardiac fibrosis@Disease,Ang II@Gene
pneumoniae   AID@Disease,AID@Gene
pneumonia@Disease,CGRP@Gene
respiratory illness@Disease,DPP4@Gene
respiratory syndrome@Disease,DPP4@Gene
fibrosis@Disease,AT1@Gene
interstitial fibrosis@Disease,PTX3@Gene
acute respiratory syndrome@Disease,PTX3@Gene
fibrosis@Disease,STAT1@Gene
pneumonia@Disease,Fcgamma receptor@Gene
pneumonia@Disease,FCGR2A@Gene
pulmonary fibrosis@Disease,COPD@Gene
allergic diarrhea@Disease,OVA@Gene
respiratory virus infections@Disease,IFN@Gene
pneumonia@Disease,IL-2@Gene
acute respiratory infection@Disease,IL-8@Gene
dengue fever@Disease,IL-17A@Gene
dengue fever@Disease,mrc1@Gene
dengue fever@Disease,IPS-1@Gene
dengue fever@Disease,VISA@Gene
respiratory disease@Disease,hACE2@Gene
SARS infection@Disease,ACE2@Gene
dengue fever@Disease,CLEC7A@Gene
Diarrhea@Disease,MOZ@Gene
diarrhea@Disease,MOZ@Gene
Respiratory virus infection@Disease,CD8@Gene
fever@Disease,IFITM3@Gene
fibrosis@Disease,alpha-SMA@Gene
fibrosis@Disease,Dpp4@Gene
rSARS-CoV infected@Disease,CP-D@Gene
infection pneumonia@Disease,CRP@Gene
respiratory syndrome@Disease,CRP@Gene
pneumonia@Disease,S protein@Gene
pneumonia@Disease,Th2@Gene
respiratory syndrome@Disease,cathepsin L@Gene
fibrosis@Disease,DMD@Gene
respiratory syndrome coronavirus@Disease,dipeptidyl peptidase 4@Gene
fibrosis@Disease,Egr-1@Gene
respiratory virus infections@Disease,TRM@Gene
respiratory syndrome@Disease,FcgammaRIIA@Gene
fibrosis@Disease,fibrinogen@Gene
diarrhea@Disease,haptoglobin@Gene
respiratory infection@Disease,IFN@Gene
respiratory syndrome@Disease,IFN-gamma@Gene
pneumonia@Disease,IL4@Gene
MP pneumonia@Disease,IL-18@Gene
respiratory infections@Disease,iNOS@Gene
diarrhea@Disease,Gp 2@Gene
pneumonia@Disease,TLR9@Gene
fever@Disease,"""19A""@Gene"
cystic fibrosis@Disease,PTX3@Gene
fibrosis@Disease,ACE-2@Gene
SARS-CoV infection@Disease,MCP-1@Gene
Liver fibrosis@Disease,SSa@Gene
Coronavirus infection@Disease,SSa@Gene
diarrhea@Disease,TNF-alpha@Gene
acute respiratory distress syndrome@Disease,TNF-alpha@Gene
SARS-CoV infection@Disease,mAbs@Gene
respiratory tract infection@Disease,CD8@Gene
SARS-CoV infection@Disease,MASP2@Gene
fever@Disease,YKL-40@Gene
fibrosis@Disease,NLRP3@Gene
fibrosis@Disease,AT1R@Gene
diarrhea@Disease,CRP@Gene
Fever@Disease,C-reactive protein@Gene
respiratory syndrome coronavirus@Disease,ORF4b@Gene
respiratory disease@Disease,Th2@Gene
fibrosis@Disease,AT2@Gene
diarrhea@Disease,EGFR@Gene
Respiratory viral infections@Disease,COPD@Gene
respiratory viral infection@Disease,COPD@Gene
chronic bronchitis@Disease,COPD@Gene
SARS-CoV infection@Disease,IFN-lambda1@Gene
fever@Disease,IFN-alpha@Gene
pneumonia@Disease,MBL@Gene
diarrhea@Disease,NF-kappaB@Gene
coronavirus infection@Disease,NF-kappaB@Gene
fever@Disease,MDM@Gene
SARS-CoV infection@Disease,ACE-2@Gene
coronavirus infections@Disease,SARS@Gene
fever@Disease,MCP-1@Gene
fever@Disease,TNFalpha@Gene
fibrosis@Disease,TNFalpha@Gene
pneumonia@Disease,healthcare-associated pneumonia@Gene
fibrosis@Disease,CD4@Gene
SARS infections@Disease,CD8@Gene
pneumonia@Disease,PAF@Gene
respiratory disease@Disease,Ad14@Gene
pneumonia@Disease,IFN-alpha@Gene
viral hemorrhagic fever@Disease,NXF1@Gene
respiratory disease@Disease,lag1@Gene
lung fibrosis@Disease,BLM+HSV1@Gene
fibrosis@Disease,dystrophin@Gene
fibrosis@Disease,IL-6@Gene
pneumoniae type 14@Disease,DC-SIGN@Gene
pulmonary fibrosis@Disease,SAP@Gene
respiratory syndrome coronavirus@Disease,RIG-I@Gene
acute respiratory syndrome@Disease,PD-L1@Gene
SARS coronavirus infection@Disease,HLA-B@Gene
hemorrhagic fever@Disease,IFN@Gene
Respiratory Syndrome@Disease,IFN@Gene
respiratory tract infections@Disease,IFN@Gene
respiratory infections@Disease,IFN-gamma@Gene
fibrosis@Disease,IL-1beta@Gene
coronavirus infection@Disease,IL-6@Gene
coronavirus infection@Disease,IL-8@Gene
respiratory virus infection@Disease,IL-10@Gene
respiratory infections@Disease,IP-10@Gene
cystic fibrosis@Disease,MBL@Gene
influenza viral pneumonia@Disease,c-Met@Gene
respiratory infections@Disease,mask@Gene
pneumonia@Disease,SS2@Gene
pneumonia@Disease,"""19A""@Gene"
fibrosis@Disease,TREM-1@Gene
lung and liver fibrosis@Disease,ACE2@Gene
SARS-CoV infection@Disease,CCL5@Gene
coronavirus Mouse Hepatitis Virus@Disease,MDA5@Gene
fever@Disease,Sri@Gene
fibrosis@Disease,transforming growth factor-beta1@Gene
Valley  Fever Virus               Bunyavirus@Disease,IFITM2@Gene
Omsk  Hemorrhagic  Fever Virus               Flavivirus@Disease,IFITM2@Gene
Fever  Virus               Flavivirus@Disease,IFITM2@Gene
pneumonia@Disease,BAL@Gene
respiratory infection@Disease,ALTE@Gene
respiratory viral infections@Disease,PAF@Gene
respiratory disease@Disease,hBoV1@Gene
mycoplasma pneumonia@Disease,CTSL@Gene
respiratory distress@Disease,pigs@Gene
cystic fibrosis@Disease,cystic fibrosis transmembrane conductance regulator@Gene
pneumonia@Disease,Ctsl@Gene
respiratory tract infection@Disease,C-reactive protein@Gene
fever@Disease,IFNAR@Gene
SARS-CoV infection@Disease,IFNAR1@Gene
respiratory infection@Disease,DPP4@Gene
interstitial pneumonia@Disease,DPP4@Gene
Respiratory virus infection@Disease,TRM@Gene
fever@Disease,aspartate aminotransferase@Gene
pneumonia@Disease,interferon@Gene
fever@Disease,IFN-beta@Gene
acute respiratory syndrome@Disease,IL-6@Gene
fibrosis@Disease,IL-10@Gene
fever@Disease,CXCL10@Gene
respiratory syndrome@Disease,CXCL10@Gene
dengue hemorrhagic fever@Disease,IP-10@Gene
respiratory syndrome@Disease,NTPase@Gene
respiratory disease@Disease,LTA@Gene
respiratory diseases@Disease,iNOS@Gene
respiratory illness@Disease,mask@Gene
respiratory syndrome coronavirus@Disease,PKR@Gene
diarrhea@Disease,bat@Gene
respiratory syndrome@Disease,MAVS@Gene
influenza pneumonia@Disease,ANGPTL4@Gene
acute respiratory distress syndrome@Disease,SARS@Gene
lung fibrosis@Disease,TGF-beta@Gene
pneumonia@Disease,TNF@Gene
pneumonia@Disease,mAbs@Gene
respiratory disease@Disease,CD8@Gene
bronchopneumonia@Disease,IgA@Gene
respiratory viral infections@Disease,IFITM3@Gene
diarrhea@Disease,CPE@Gene
pneumonia@Disease,P14@Gene
lung fibrosis@Disease,NLRP3@Gene
pneumonia@Disease,SARI@Gene
Pneumocystis pneumonia@Disease,CD4@Gene
neurotropic coronavirus@Disease,CCR2@Gene
Pneumonia@Disease,CRP@Gene
viral plus other pneumonias@Disease,CRP@Gene
Diarrhea@Disease,EGFR@Gene
fibrosis@Disease,STAT3@Gene
fibrosis@Disease,LPS@Gene
fibrosis@Disease,CD16@Gene
diarrhea@Disease,P29@Gene
respiratory virus infections@Disease,COPD@Gene
Chronic bronchitis@Disease,COPD@Gene
SARS-CoV infection@Disease,IFN-lambda2@Gene
pneumonia@Disease,alanine aminotransferase@Gene
SARS coronavirus infection@Disease,HLA@Gene
respiratory diseases@Disease,IFN@Gene
respiratory syndrome virus@Disease,interferon@Gene
respiratory syncytial virus infections@Disease,IFN@Gene
SARS-CoV infection@Disease,IL-1beta@Gene
fever@Disease,IL-4@Gene
respiratory infections@Disease,IL-6@Gene
pneumonia@Disease,IL8@Gene
lung fibrosis@Disease,IL-17A@Gene
respiratory infection@Disease,IP-10@Gene
respiratory viral infection@Disease,IP-10@Gene
acute respiratory syndrome@Disease,IP-10@Gene
coronavirus infection@Disease,IRF-3@Gene
decreased pneumonia@Disease,in@Gene
Rhinovirus respiratory infection@Disease,at V2@Gene
fibrosis@Disease,OAS1@Gene
Diarrhea@Disease,Apr@Gene
pneumonia@Disease,PTX3@Gene
bronchitis virus@Disease,p65@Gene
fever@Disease,CVL@Gene
fever@Disease,Yes 2@Gene
coronavirus infection@Disease,PERK@Gene
coronavirus infection@Disease,ISG15@Gene
Zika virus infection@Disease,L-SIGN@Gene
diarrhea@Disease,cpe@Gene
pneumonia@Disease,ray@Gene
SARS-CoV infection@Disease,CAST@Gene
diarrhea@Disease,C-reactive protein@Gene
pulmonary fibrosis@Disease,CTGF@Gene
diarrhea@Disease,Peak 2@Gene
fibrosis@Disease,IFN-gammaR@Gene
acute respiratory syndrome@Disease,IgG1@Gene
Zika virus infection@Disease,DC-SIGN@Gene
fibrosis@Disease,MyD88@Gene
fever@Disease,or@Gene
bloody diarrhea@Disease,EGF@Gene
SARS-CoV infection@Disease,AHSG@Gene
fibrosis@Disease,renin@Gene
respiratory diseases@Disease,GX-sPLA2@Gene
pulmonary fibrosis@Disease,OVA@Gene
fibrosis@Disease,HGF@Gene
fibrosis@Disease,Apelin@Gene
diarrhea@Disease,P70@Gene
viral infections particularly of the respiratory mucosa@Disease,IFN@Gene
SARS-CoV infection@Disease,interferon@Gene
respiratory viral infection@Disease,IL-10@Gene
SARS-CoV infection@Disease,IRF-3@Gene
diarrhea@Disease,GST@Gene
respiratory syndrome@Disease,nsp4@Gene
Viral respiratory infection@Disease,at V2@Gene
diarrhea@Disease,serum amyloid A@Gene
HTN Fever@Disease,Apr@Gene
fever@Disease,Apr@Gene
diarrhea@Disease,MEP@Gene
fever@Disease,May 1@Gene
SARS@Disease,bat@Gene
denguehemorrhagic fever@Disease,NS5@Gene
respiratory infection@Disease,SARS@Gene
NW hemorrhagic fever arenaviruses@Disease,TfR1@Gene
fibrosis@Disease,TGFbeta@Gene
pneumonia@Disease,TGF-beta@Gene
hemorrhagic fever@Disease,TNF-alpha@Gene
diarrhea@Disease,Ca2+@Gene
diarrhea@Disease,Peak 1@Gene
hemorrhagic fever@Disease,CD4@Gene
diarrhea@Disease,NHERF@Gene
SARS infection@Disease,CD34@Gene
SARS-CoV infection@Disease,ISG15@Gene
fibrosis@Disease,gamma-glutamyltranspeptidase@Gene
viral pneumonia@Disease,IFITM3@Gene
aureus pneumonia@Disease,Tcrd@Gene
lung fibrosis@Disease,MR@Gene
pneumonia@Disease,anxa2@Gene
respiratory virus infection@Disease,CCR5@Gene
bronchitis@Disease,CRP@Gene
diarrhea@Disease,FcRn@Gene
fibrosis@Disease,Glp1r@Gene
respiratory viral infections@Disease,ADRB2@Gene
fibrosis@Disease,IL-17@Gene
fever@Disease,IL-1alpha@Gene
respiratory syndrome coronavirus@Disease,helicase@Gene
acute respiratory syndrome@Disease,helicase@Gene
bronchitis virus CHOP@Disease,CHOP@Gene
interstitial pneumonia@Disease,BLP@Gene
fibrosis@Disease,AngII@Gene
pneumonia@Disease,Sp3@Gene
myocardial fibrosis@Disease,Ang II@Gene
scarlet fever@Disease,GAS@Gene
respiratory syndrome coronavirus@Disease,DC-SIGN@Gene
fever@Disease,HLA-B@Gene
fever@Disease,MCAD@Gene
Severe acute respiratory syndrome coronavirus open@Disease,interferon@Gene
diarrhea@Disease,IFN-beta@Gene
respiratory infections@Disease,IL-8@Gene
respiratory infection@Disease,IL-10@Gene
dengue hemorrhagic fever@Disease,IL-10@Gene
pneumoniae infection@Disease,AP-1@Gene
pneumonia@Disease,MBL2@Gene
cystic fibrosis@Disease,P2Y2R@Gene
respiratory infection@Disease,B-55@Gene
respiratory inflammation@Disease,LBP@Gene
respiratory disease@Disease,Th1@Gene
pneumonia@Disease,GR1@Gene
coronavirus infection@Disease,PKR@Gene
hemorrhagic fever@Disease,bat@Gene
respiratory syndrome@Disease,bat@Gene
diarrhea@Disease,aid@Gene
acute respiratory syndrome@Disease,MAVS@Gene
acute respiratory syndrome@Disease,ACE-2@Gene
SARS-CoV infection@Disease,Bcl2@Gene
